"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"05/01/2023";"1200";"20,5";"";"";"79,4";"";"";"";"";"";"";"";"";"3,3";"";"";"";"0,0"
"05/01/2023";"1300";"20,8";"";"";"79,8";"";"";"";"";"";"";"";"";"3,9";"";"";"";"0,0"
"05/01/2023";"1400";"21,2";"";"";"79,5";"";"";"";"";"";"";"";"";"4,2";"";"";"";"0,0"
"05/01/2023";"1500";"22,0";"";"";"76,7";"";"";"";"";"";"";"";"";"4,3";"";"";"";"0,0"
"05/01/2023";"1600";"22,3";"";"";"75,6";"";"";"";"";"";"";"";"";"3,7";"";"";"";"0,0"
"05/01/2023";"1700";"22,3";"";"";"76,0";"";"";"";"";"";"";"";"";"3,4";"";"";"";"1,2"
"05/01/2023";"1800";"22,5";"";"";"76,7";"";"";"";"";"";"";"";"";"3,8";"";"";"";"0,0"
"05/01/2023";"1900";"22,8";"";"";"74,9";"";"";"";"";"";"";"";"";"3,0";"";"";"";"0,0"
"05/01/2023";"2000";"22,8";"";"";"74,1";"";"";"";"";"";"";"";"";"2,9";"";"";"";"0,0"
"05/01/2023";"2100";"23,0";"";"";"72,8";"";"";"";"";"";"";"";"";"3,4";"";"";"";"0,0"
"05/01/2023";"2200";"23,1";"";"";"72,3";"";"";"";"";"";"";"";"";"3,4";"";"";"";"0,0"
"05/01/2023";"2300";"22,1";"";"";"76,0";"";"";"";"";"";"";"";"";"3,3";"";"";"";"0,0"
"06/01/2023";"0000";"21,5";"";"";"79,7";"";"";"";"";"";"";"";"";"2,7";"";"";"";"0,0"
"06/01/2023";"0100";"21,1";"";"";"81,3";"";"";"";"";"";"";"";"";"2,6";"";"";"";"0,0"
"06/01/2023";"0200";"20,4";"";"";"84,7";"";"";"";"";"";"";"";"";"2,5";"";"";"";"0,0"
"06/01/2023";"0300";"20,1";"";"";"85,3";"";"";"";"";"";"";"";"";"2,6";"";"";"";"0,0"
"06/01/2023";"0400";"19,6";"";"";"88,1";"";"";"";"";"";"";"";"";"2,1";"";"";"";"0,0"
"06/01/2023";"0500";"19,2";"";"";"89,1";"";"";"";"";"";"";"";"";"3,1";"";"";"";"0,0"
"06/01/2023";"0600";"18,9";"";"";"90,0";"";"";"";"";"";"";"";"";"3,6";"";"";"";"0,0"
"06/01/2023";"0700";"18,4";"";"";"96,1";"";"";"";"";"";"";"";"";"3,0";"";"";"";"0,0"
"06/01/2023";"0800";"18,1";"";"";"99,5";"";"";"";"";"";"";"";"";"1,9";"";"";"";"0,0"
"06/01/2023";"0900";"17,4";"";"";"100,0";"";"";"";"";"";"";"";"";"1,5";"";"";"";"0,0"
"06/01/2023";"1000";"18,0";"";"";"92,4";"";"";"";"";"";"";"";"";"1,7";"";"";"";"0,0"
"06/01/2023";"1100";"19,0";"";"";"81,0";"";"";"";"";"";"";"";"";"2,9";"";"";"";"0,0"
"06/01/2023";"1200";"20,8";"";"";"73,0";"";"";"";"";"";"";"";"";"4,2";"";"";"";"0,0"
"06/01/2023";"1300";"22,6";"";"";"65,9";"";"";"";"";"";"";"";"";"3,8";"";"";"";"0,0"
"06/01/2023";"1400";"24,3";"";"";"59,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"06/01/2023";"1500";"25,4";"";"";"58,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"06/01/2023";"1600";"25,8";"";"";"59,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"06/01/2023";"1700";"26,2";"";"";"60,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"06/01/2023";"1800";"26,4";"";"";"60,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"06/01/2023";"1900";"26,3";"";"";"61,6";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"06/01/2023";"2000";"26,0";"";"";"62,1";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"06/01/2023";"2100";"25,8";"";"";"62,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"06/01/2023";"2200";"25,4";"";"";"64,7";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"06/01/2023";"2300";"24,9";"";"";"66,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"07/01/2023";"0000";"24,6";"";"";"68,0";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"07/01/2023";"0100";"23,9";"";"";"67,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"07/01/2023";"0200";"22,7";"";"";"68,6";"";"";"";"";"";"";"";"";"4,8";"";"";"";"0,0"
"07/01/2023";"0300";"21,6";"";"";"71,3";"";"";"";"";"";"";"";"";"4,1";"";"";"";"0,0"
"07/01/2023";"0400";"20,8";"";"";"72,0";"";"";"";"";"";"";"";"";"4,6";"";"";"";"0,0"
"07/01/2023";"0500";"20,1";"";"";"73,1";"";"";"";"";"";"";"";"";"4,5";"";"";"";"0,0"
"07/01/2023";"0600";"19,3";"";"";"75,2";"";"";"";"";"";"";"";"";"4,1";"";"";"";"0,0"
"07/01/2023";"0700";"18,6";"";"";"79,9";"";"";"";"";"";"";"";"";"4,1";"";"";"";"0,0"
"07/01/2023";"0800";"18,0";"";"";"83,3";"";"";"";"";"";"";"";"";"4,2";"";"";"";"0,0"
"07/01/2023";"0900";"17,4";"";"";"88,9";"";"";"";"";"";"";"";"";"2,6";"";"";"";"0,0"
"07/01/2023";"1000";"17,9";"";"";"82,1";"";"";"";"";"";"";"";"";"3,0";"";"";"";"0,0"
"07/01/2023";"1100";"19,4";"";"";"73,7";"";"";"";"";"";"";"";"";"4,7";"";"";"";"0,0"
"07/01/2023";"1200";"21,3";"";"";"66,6";"";"";"";"";"";"";"";"";"5,9";"";"";"";"0,0"
"07/01/2023";"1300";"22,8";"";"";"62,1";"";"";"";"";"";"";"";"";"6,1";"";"";"";"0,0"
"07/01/2023";"1400";"23,6";"";"";"61,6";"";"";"";"";"";"";"";"";"4,1";"";"";"";"0,0"
"07/01/2023";"1500";"25,6";"";"";"59,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"07/01/2023";"1600";"26,4";"";"";"59,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"07/01/2023";"1700";"26,5";"";"";"59,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"07/01/2023";"1800";"26,6";"";"";"60,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"07/01/2023";"1900";"26,6";"";"";"60,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"07/01/2023";"2000";"26,3";"";"";"61,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"07/01/2023";"2100";"25,8";"";"";"61,9";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"07/01/2023";"2200";"25,6";"";"";"62,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"07/01/2023";"2300";"25,1";"";"";"64,6";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"08/01/2023";"0000";"24,6";"";"";"64,6";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"08/01/2023";"0100";"24,1";"";"";"65,3";"";"";"";"";"";"";"";"";"3,8";"";"";"";"0,0"
"08/01/2023";"0200";"23,9";"";"";"64,2";"";"";"";"";"";"";"";"";"1,8";"";"";"";"0,0"
"08/01/2023";"0300";"22,8";"";"";"66,3";"";"";"";"";"";"";"";"";"5,3";"";"";"";"0,0"
"08/01/2023";"0400";"21,7";"";"";"70,5";"";"";"";"";"";"";"";"";"5,6";"";"";"";"0,0"
"08/01/2023";"0500";"20,7";"";"";"73,3";"";"";"";"";"";"";"";"";"5,5";"";"";"";"0,0"
"08/01/2023";"0600";"19,9";"";"";"74,5";"";"";"";"";"";"";"";"";"4,9";"";"";"";"0,0"
"08/01/2023";"0700";"19,1";"";"";"78,0";"";"";"";"";"";"";"";"";"4,8";"";"";"";"0,0"
"08/01/2023";"0800";"18,3";"";"";"82,6";"";"";"";"";"";"";"";"";"2,7";"";"";"";"0,0"
"08/01/2023";"0900";"17,9";"";"";"86,2";"";"";"";"";"";"";"";"";"1,8";"";"";"";"0,0"
"08/01/2023";"1000";"18,4";"";"";"83,8";"";"";"";"";"";"";"";"";"1,9";"";"";"";"0,0"
"08/01/2023";"1100";"19,9";"";"";"77,3";"";"";"";"";"";"";"";"";"2,5";"";"";"";"0,0"
"08/01/2023";"1200";"21,9";"";"";"68,4";"";"";"";"";"";"";"";"";"4,3";"";"";"";"0,0"
"08/01/2023";"1300";"23,4";"";"";"64,2";"";"";"";"";"";"";"";"";"5,2";"";"";"";"0,0"
"08/01/2023";"1400";"24,2";"";"";"63,5";"";"";"";"";"";"";"";"";"4,1";"";"";"";"0,0"
"08/01/2023";"1500";"25,2";"";"";"62,8";"";"";"";"";"";"";"";"";"3,6";"";"";"";"0,0"
"08/01/2023";"1600";"26,4";"";"";"62,2";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"08/01/2023";"1700";"27,1";"";"";"61,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"08/01/2023";"1800";"27,5";"";"";"60,6";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"08/01/2023";"1900";"27,4";"";"";"61,5";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"08/01/2023";"2000";"27,5";"";"";"61,6";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"08/01/2023";"2100";"27,7";"";"";"61,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"08/01/2023";"2200";"26,6";"";"";"65,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"08/01/2023";"2300";"25,1";"";"";"71,0";"";"";"";"";"";"";"";"";"2,7";"";"";"";"0,0"
"09/01/2023";"0000";"23,9";"";"";"77,6";"";"";"";"";"";"";"";"";"1,9";"";"";"";"0,0"
"09/01/2023";"0100";"23,3";"";"";"79,8";"";"";"";"";"";"";"";"";"2,6";"";"";"";"0,0"
"09/01/2023";"0200";"22,2";"";"";"84,6";"";"";"";"";"";"";"";"";"1,9";"";"";"";"0,0"
"09/01/2023";"0300";"22,1";"";"";"86,2";"";"";"";"";"";"";"";"";"2,1";"";"";"";"0,0"
"09/01/2023";"0400";"22,0";"";"";"88,0";"";"";"";"";"";"";"";"";"2,1";"";"";"";"0,0"
"09/01/2023";"0500";"21,7";"";"";"86,7";"";"";"";"";"";"";"";"";"2,8";"";"";"";"0,0"
"09/01/2023";"0600";"21,1";"";"";"87,1";"";"";"";"";"";"";"";"";"3,2";"";"";"";"0,0"
"09/01/2023";"0700";"20,8";"";"";"85,5";"";"";"";"";"";"";"";"";"3,8";"";"";"";"0,0"
"09/01/2023";"0800";"20,5";"";"";"84,9";"";"";"";"";"";"";"";"";"3,5";"";"";"";"0,0"
"09/01/2023";"0900";"20,1";"";"";"86,8";"";"";"";"";"";"";"";"";"3,7";"";"";"";"0,0"
"09/01/2023";"1000";"20,4";"";"";"85,5";"";"";"";"";"";"";"";"";"3,5";"";"";"";"0,0"
"09/01/2023";"1100";"21,7";"";"";"79,4";"";"";"";"";"";"";"";"";"4,4";"";"";"";"0,0"
"09/01/2023";"1200";"22,7";"";"";"75,6";"";"";"";"";"";"";"";"";"5,1";"";"";"";"0,0"
"09/01/2023";"1300";"24,3";"";"";"71,5";"";"";"";"";"";"";"";"";"3,4";"";"";"";"0,0"
"09/01/2023";"1400";"25,0";"";"";"69,9";"";"";"";"";"";"";"";"";"0,5";"";"";"";"0,0"
"09/01/2023";"1500";"25,3";"";"";"69,8";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"09/01/2023";"1600";"26,5";"";"";"66,3";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"09/01/2023";"1700";"26,8";"";"";"65,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
"09/01/2023";"1800";"27,7";"";"";"63,4";"";"";"";"";"";"";"";"";"0,0";"";"";"";"0,0"
